Timestamp,Severity,Reasons,ImagePath,OCRText
2025-04-22 19:21:48,✅ SAFE,,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-192143.png,"@ Messages File Edit View Conversation Format Window Help  Last login: Tue Apr 22 19:14:90 a= ##u0a41e /Users/taek/PHISH-ER-I  taek@TAEs—MacBook-Air C ) To: +1 (478) 284-8366 xit; ’ App started! ai : teammate? /@| c + (|  iMessage Fri, Nov 1 at 8:05PM  Hey SN Monte! It's Shernette and | am checking with you today because we have an opportunity to recruit one person for only $25 until midnight _) EST to have your professional Financial Services Licenses paid for along with paid training. Would you like to be that new  98OF eoO7 BOOB Go  €0°  Tue Apr 22 7:21PM  Cloudy H:73° L:65°  10PM 11PM 12AM  & ®& & 65° «65°  aft  ia @ "
2025-04-22 19:33:36,✅ SAFE,,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-193331.png,File Edit View Conversation Format Window’ Help © €E @) FS Q ®S TueApr 22 7:33PM  < DBPHISH-FR-| ita  Last login: Tue Apr 22 19:94:20 «= ##uco4e  /Users/taek/PHISH-ER-I _  taek@TAEs-MacBook-Air © © To: Drew R (™ @ xit;  ? App started! 4 &  & ww Okay bet | got you paying now Cloudy  Long story short they just thought | was stealing H:73° L:65°  10PM 11PM 12AM  & ®& & 66° 65° 65°  Today 7:27PM  Spaghetti or pizza?  Mmmmmm  Spghetti  Give me a day  Delivered  Or if you want pizza we can do pizza | don't mind either one tbh  Pizza sounds great Pizzasounds good ()) x  | at  sHaO: BO08G GOO €0 °  +  rp eeo ef - ee: 
2025-04-22 19:37:04,✅ SAFE,,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-193659.png,"File Edit View Go Window’ Help © €E @) fF Q ®S TueApr 22 7:36PM  eo < PHISH-ER-Lite se = OM  al < G Le) ® < se)  Last login:  /Users/taek/ © Downloads  taek@TAEs—Ma ae er xit; — 9 App start PHISH-E... PYTHON csv ‘ z PYTHON ‘ 5 © Recents phisher_ai_gui.py scan_history.csv (} taek __pycache__ phisher_lite.py venv ael [| Employee... —- SHELL [pen ——_—,  =) Desktop - Launch PHISH- & __ 3 ; PYTHON ER.command Cloudy GSUSott... Phisher Lite H:73° L:65°  components utils.py Modules  [5 GSU ORG... het  10PM 11PM 12AM  [5 GSU DESI... q 7 yy yy yy © AirDrop zip 66° 65° 65°  Phisher Lite Modules.zip  Applicati...  Macintos...  ©@) Macintosh HD > { Users > (@ taek >» GM PHISH-ER-Lite > Launch PHISH-ER.command Spaghetti or pizza?  Spghetti  Give me a day  Delivered  Or if you want pizza we can do pizza | don't mind either one tbh  + aft  sHi 1: BO08 | GOO 80: "
2025-04-22 19:42:20,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-194215.png,"@ Preview File Edit View Go Tools Window Help (gw (C) Q Ss Q &@ TueApr 22 7:42PM  @ (J~ Screenshot 2025-04-15 at 3.20.04PM © QQ Ay Sv GP @® CH @search  © DHL OFFICE 65 Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM | ATTENTION DEAR BENEFICIARY ; To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, Details | Reply-To: dhloffice7635@gmail.com  ATTENTION DEAR BENEFICIARY Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration, Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ............0  Home address......  Email address.......  Nearest Airport.......  Phone numberv......  Copy of your ID card  Your urgent reply is needed immediately Best Regard Wayne Johnston  + iMessage afte  9BOF® eoO""BOOSBOHNS OH £€0'°S2 av "
2025-04-22 19:44:11,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-194406.png,"@ Preview File Edit View Go Tools Window Help (gw (C) Q Ss Q &@ TueApr 22 7:44PM  @ {€J~ Screenshot 2025-04-15 at 3.20.04PM © QQ nh 2 - GF @O F&F @sFearch  cy © DHL OFFICE & Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM | ATTENTION DEAR BENEFICIARY Detail etails To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, Reply-To: dhloffice7635@gmail.com  ATTENTION DEAR BENEFICIARY Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration, Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ............0  Home address......  Email address.......  Nearest Airport.......  Phone numberv......  Copy of your ID card  Your urgent reply is needed immediately Best Regard Wayne Johnston  + iMessage afte  9BOF®eoO""BOHOSBGHNS OOH £02: Ff  @ "
2025-04-22 19:48:31,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-194826.png,"@ Preview File Edit View Go Tools Window Help E ) Q @_ TueApr 22 7:48PM  @0O@ €L)~ Screenshot 2025-04-15 at 3.20.04PM  DHL OFFICE & Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM ATTENTION DEAR BENEFICIARY  To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight,  Reply-To: dhloffice7635@gmail.com  ATTENTION DEAR BENEFICIARY  Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration,  Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name  Home address  Email address  Nearest Airport  Phone number.  Copy of your ID card  Your urgent reply is needed immediately Best Regard  Wayne Johnston  iMessage afr  + QBOF® oO"" BOOS0NS8 OHO £02 Fad  "
2025-04-22 19:54:24,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-195419.png,"@ Preview File Edit View Go Tools Window Help ia w~ (C) Q se Q @ TueApr 22 7:54PM  o oll @ (LJ~ Screenshot 2025-04-15 at 3.20.04PM © QQ Ay CO» GO @® EH Search teed log /Users/t taek@TAE xit ° App s © DHL OFFICE & Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM ATTENTION DEAR BENEFICIARY Detail etails To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, . Reply-To: dhloffice7635@gmail.com < y ATTENTION DEAR BENEFICIARY Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration,  Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ............0 Home address...... : Email address.......  | Nearest Airport....... Phone numberv...... Copy of your ID card Your urgent reply is needed immediately Best Regard Wayne Johnston  jose + ( iMessage aif 92OF® = BO71BOHOSE0NS8 OHO £02: bad  "
2025-04-22 20:02:14,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-200207.png,"Ci  ?  __ ww ¢__»__PHISH-EP-1 ita 8 =/g of soy hy © @ @ Last login: Tue Apr 22 19:54:09 on ttys@15 /Users/taek/PHISH-ER-Lite/Launch\ PHISH-ER.command ; exit;  taek@TAEs—MacBook-Air ~ % /Users/taek/PHISH-ER-Lite/Launch\ PHISH-ER.command ; e— | a | xis ‘3  0  9HO*=sO SB °Os0ns OH SOe” fa  Preview File Edit View Go Tools Window’ Help E > Q @ TueApr 22 8:02PM  taek — Launch PHISH-ER.command — screencapture « Launch PHISH-ER....  @ (€~ Screenshot 2025-04-15 at 3.20.04PM © QQ Ay 2» GO @O & search  © DHL OFFICE & Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM ATTENTION DEAR BENEFICIARY To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, Reply-To: dhloffice7635@gmail.com  Details  ATTENTION DEAR BENEFICIARY Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration, Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ............0  Home address......  Email address.......  Nearest Airport.......  Phone numberv......  Copy of your ID card  Your urgent reply is needed immediately Best Regard Wayne Johnston  a "
2025-04-22 20:03:52,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-200346.png,"@ Preview File Edit View Go Tools Window Help o w~ (C) oe Ss Q @ TueApr 22 8:03PM  @ a @ f)J~ Screenshot 2025-04-15 at 3.20.04PM © QQ Ay Oo» GO @O E& QsSearch Last logi /Users/ta taek@TAEs xit; ? App s © DHL OFFICE & Junk - aintuh810@gmail.com April 11, 2025 at 4:59PM ATTENTION DEAR BENEFICIARY Detail etails To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, ‘] Reply-To: dhloffice7635@gmail.com < , 4 ATTENTION DEAR BENEFICIARY Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration,  Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ......... 2 Home adadress...... : Email address....... a Nearest Airport....... : Phone numberv...... Copy of your ID card Your urgent reply is needed immediately Best Regard Wayne Johnston  afte  98OF foO*SOOSBONS OH £08 av  "
2025-04-22 20:08:38,⚠️ MEDIUM RISK,urgent,/Users/taek/Desktop/phish_screenshots/screenshot_20250422-200833.png,"Ci  Las /Us tae xit  Preview File Edit View Go Tools Window’ Help a (6,0) (C) @ (€LJ~ Screenshot 2025-04-15 at 3.20.04PM © QQ Ay CO» GO @® EH search © DHL OFFICE & Junk - aintuh810@gmail.com  ATTENTION DEAR BENEFICIARY  To: undisclosed-recipients:;, Bcc: Shamonte (TAE) Knight, Reply-To: dhloffice7635@gmail.com  ATTENTION DEAR BENEFICIARY  Your ATM Card worth of $11.5million USD has been approved and was deposited with DHL delivery company for registration,  Unfortunately we failed to deliver the ATM CARD which was sent on 9th of april 2025 in time because the address is not correct.  Please forward your correct location information so that | will deliver your ATM card to you at your door step to avoid delivery to the wrong person  full name ............0  Home address......  Email address.......  Nearest Airport.......  Phone numberv......  Copy of your ID card  Your urgent reply is needed immediately Best Regard Wayne Johnston  98OF eo"" BOHOSBOHS OH 808  Q >s Q @ TueApr 22 8:08PM  + iMessage afte  April 11, 2025 at 4:59PM  Details  "
